E_meV,F_value
0.0,0.0
0.01,0.0
0.02,0.0
0.03,0.0
0.04,0.0
0.05,0.0
0.06,0.0
0.07,0.0
0.08,0.0
0.09,0.0
0.1,0.0
0.11,0.0
0.12,0.0
0.13,0.0
0.14,0.0
0.15,0.0
0.16,0.0
0.17,0.0
0.18,0.0
0.19,0.0
0.2,0.0
0.21,0.0
0.22,0.0
0.23,0.0
0.24,0.0
0.25,0.0
0.26,0.0
0.27,0.0
0.28,0.0
0.29,0.0
0.3,0.0
0.31,3.04
0.32,3.021
0.33,3.004
0.34,2.987
0.35,2.971
0.36,2.956
0.37,2.942
0.38,2.929
0.39,2.916
0.4,2.903
0.41,2.892
0.42,2.881
0.43,2.87
0.44,2.859
0.45,2.848
0.46,2.839
0.47,2.83
0.48,2.821
0.49,2.812
0.5,2.803
0.51,2.7954
0.52,2.7878
0.53,2.7802
0.54,2.7726
0.55,2.765
0.56,2.7584
0.57,2.7518
0.58,2.7452
0.59,2.7386
0.6,2.732
0.61,2.7264
0.62,2.7208
0.63,2.7152
0.64,2.7096
0.65,2.704
0.66,2.699
0.67,2.694
0.68,2.689
0.69,2.684
0.7,2.679
0.71,2.6746
0.72,2.6702
0.73,2.6658
0.74,2.6614
0.75,2.657
0.76,2.653
0.77,2.649
0.78,2.645
0.79,2.641
0.8,2.637
0.81,2.6334
0.82,2.6298
0.83,2.6262
0.84,2.6226
0.85,2.619
0.86,2.6158
0.87,2.6126
0.88,2.6094
0.89,2.6062
0.9,2.603
0.91,2.6
0.92,2.597
0.93,2.594
0.94,2.591
0.95,2.588
0.96,2.5852
0.97,2.5824
0.98,2.5796
0.99,2.5768
1.0,2.574
1.01,2.5714
1.02,2.5688
1.03,2.5662
1.04,2.5636
1.05,2.561
1.06,2.5584
1.07,2.5558
1.08,2.5532
1.09,2.5506
1.1,2.548
1.11,2.5458
1.12,2.5436
1.13,2.5414
1.14,2.5392
1.15,2.537
1.16,2.5348
1.17,2.5326
1.18,2.5304
1.19,2.5282
1.2,2.526
1.21,2.5241
1.22,2.5222
1.23,2.5203
1.24,2.5184
1.25,2.5165
1.26,2.5146
1.27,2.5127
1.28,2.5108
1.29,2.5089
1.3,2.507
1.31,2.5052
1.32,2.5034
1.33,2.5016
1.34,2.4998
1.35,2.498
1.36,2.4962
1.37,2.4944
1.38,2.4926
1.39,2.4908
1.4,2.489
1.41,2.4874
1.42,2.4858
1.43,2.4842
1.44,2.4826
1.45,2.481
1.46,2.4794
1.47,2.4778
1.48,2.4762
1.49,2.4746
1.5,2.473
1.51,2.4715
1.52,2.47
1.53,2.4685
1.54,2.467
1.55,2.4655
1.56,2.464
1.57,2.4625
1.58,2.461
1.59,2.4595
1.6,2.458
1.61,2.4566
1.62,2.4552
1.63,2.4538
1.64,2.4524
1.65,2.451
1.66,2.4496
1.67,2.4482
1.68,2.4468
1.69,2.4454
1.7,2.444
1.71,2.4427
1.72,2.4414
1.73,2.4401
1.74,2.4388
1.75,2.4375
1.76,2.4362
1.77,2.4349
1.78,2.4336
1.79,2.4323
1.8,2.431
1.81,2.4298
1.82,2.4286
1.83,2.4274
1.84,2.4262
1.85,2.425
1.86,2.4238
1.87,2.4226
1.88,2.4214
1.89,2.4202
1.9,2.419
1.91,2.4179
1.92,2.4168
1.93,2.4157
1.94,2.4146
1.95,2.4135
1.96,2.4124
1.97,2.4113
1.98,2.4102
1.99,2.4091
2.0,2.408
2.01,2.40695
2.02,2.4059
2.03,2.40485
2.04,2.4038
2.05,2.40275
2.06,2.4017
2.07,2.40065
2.08,2.3996
2.09,2.39855
2.1,2.3975
2.11,2.39645
2.12,2.3954
2.13,2.39435
2.14,2.3933
2.15,2.39225
2.16,2.3912
2.17,2.39015
2.18,2.3891
2.19,2.38805
2.2,2.387
2.21,2.386
2.22,2.385
2.23,2.384
2.24,2.383
2.25,2.382
2.26,2.381
2.27,2.38
2.28,2.379
2.29,2.378
2.3,2.377
2.31,2.376
2.32,2.375
2.33,2.374
2.34,2.373
2.35,2.372
2.36,2.371
2.37,2.37
2.38,2.369
2.39,2.368
2.4,2.367
2.41,2.3661
2.42,2.3652
2.43,2.3643
2.44,2.3634
2.45,2.3625
2.46,2.3616
2.47,2.3607
2.48,2.3598
2.49,2.3589
2.5,2.358
2.51,2.3571
2.52,2.3562
2.53,2.3553
2.54,2.3544
2.55,2.3535
2.56,2.3526
2.57,2.3517
2.58,2.3508
2.59,2.3499
2.6,2.349
2.61,2.34815
2.62,2.3473
2.63,2.34645
2.64,2.3456
2.65,2.34475
2.66,2.3439
2.67,2.34305
2.68,2.3422
2.69,2.34135
2.7,2.3405
2.71,2.33965
2.72,2.3388
2.73,2.33795
2.74,2.3371
2.75,2.33625
2.76,2.3354
2.77,2.33455
2.78,2.3337
2.79,2.33285
2.8,2.332
2.81,2.3312
2.82,2.3304
2.83,2.3296
2.84,2.3288
2.85,2.328
2.86,2.3272
2.87,2.3264
2.88,2.3256
2.89,2.3248
2.9,2.324
2.91,2.3232
2.92,2.3224
2.93,2.3216
2.94,2.3208
2.95,2.32
2.96,2.3192
2.97,2.3184
2.98,2.3176
2.99,2.3168
3.0,2.316
3.01,2.3152
3.02,2.3144
3.03,2.3136
3.04,2.3128
3.05,2.312
3.06,2.3112
3.07,2.3104
3.08,2.3096
3.09,2.3088
3.1,2.308
3.11,2.3072
3.12,2.3064
3.13,2.3056
3.14,2.3048
3.15,2.304
3.16,2.3032
3.17,2.3024
3.18,2.3016
3.19,2.3008
3.2,2.3
3.21,2.29925
3.22,2.2985
3.23,2.29775
3.24,2.297
3.25,2.29625
3.26,2.2955
3.27,2.29475
3.28,2.294
3.29,2.29325
3.3,2.2925
3.31,2.29175
3.32,2.291
3.33,2.29025
3.34,2.2895
3.35,2.28875
3.36,2.288
3.37,2.28725
3.38,2.2865
3.39,2.28575
3.4,2.285
3.41,2.2843
3.42,2.2836
3.43,2.2829
3.44,2.2822
3.45,2.2815
3.46,2.2808
3.47,2.2801
3.48,2.2794
3.49,2.2787
3.5,2.278
3.51,2.2773
3.52,2.2766
3.53,2.2759
3.54,2.2752
3.55,2.2745
3.56,2.2738
3.57,2.2731
3.58,2.2724
3.59,2.2717
3.6,2.271
3.61,2.2703
3.62,2.2696
3.63,2.2689
3.64,2.2682
3.65,2.2675
3.66,2.2668
3.67,2.2661
3.68,2.2654
3.69,2.2647
3.7,2.264
3.71,2.2633
3.72,2.2626
3.73,2.2619
3.74,2.2612
3.75,2.2605
3.76,2.2598
3.77,2.2591
3.78,2.2584
3.79,2.2577
3.8,2.257
3.81,2.25635
3.82,2.2557
3.83,2.25505
3.84,2.2544
3.85,2.25375
3.86,2.2531
3.87,2.25245
3.88,2.2518
3.89,2.25115
3.9,2.2505
3.91,2.24985
3.92,2.2492
3.93,2.24855
3.94,2.2479
3.95,2.24725
3.96,2.2466
3.97,2.24595
3.98,2.2453
3.99,2.24465
4.0,2.244
4.01,2.24338
4.02,2.24276
4.03,2.24214
4.04,2.24152
4.05,2.2409
4.06,2.24028
4.07,2.23966
4.08,2.23904
4.09,2.23842
4.1,2.2378
4.11,2.23718
4.12,2.23656
4.13,2.23594
4.14,2.23532
4.15,2.2347
4.16,2.23408
4.17,2.23346
4.18,2.23284
4.19,2.23222
4.2,2.2316
4.21,2.23098
4.22,2.23036
4.23,2.22974
4.24,2.22912
4.25,2.2285
4.26,2.22788
4.27,2.22726
4.28,2.22664
4.29,2.22602
4.3,2.2254
4.31,2.22478
4.32,2.22416
4.33,2.22354
4.34,2.22292
4.35,2.2223
4.36,2.22168
4.37,2.22106
4.38,2.22044
4.39,2.21982
4.4,2.2192
4.41,2.21858
4.42,2.21796
4.43,2.21734
4.44,2.21672
4.45,2.2161
4.46,2.21548
4.47,2.21486
4.48,2.21424
4.49,2.21362
4.5,2.213
4.51,2.2124
4.52,2.2118
4.53,2.2112
4.54,2.2106
4.55,2.21
4.56,2.2094
4.57,2.2088
4.58,2.2082
4.59,2.2076
4.6,2.207
4.61,2.2064
4.62,2.2058
4.63,2.2052
4.64,2.2046
4.65,2.204
4.66,2.2034
4.67,2.2028
4.68,2.2022
4.69,2.2016
4.7,2.201
4.71,2.2004
4.72,2.1998
4.73,2.1992
4.74,2.1986
4.75,2.198
4.76,2.1974
4.77,2.1968
4.78,2.1962
4.79,2.1956
4.8,2.195
4.81,2.1944
4.82,2.1938
4.83,2.1932
4.84,2.1926
4.85,2.192
4.86,2.1914
4.87,2.1908
4.88,2.1902
4.89,2.1896
4.9,2.189
4.91,2.1884
4.92,2.1878
4.93,2.1872
4.94,2.1866
4.95,2.186
4.96,2.1854
4.97,2.1848
4.98,2.1842
4.99,2.1836
5.0,2.183
5.01,2.18244
5.02,2.18188
5.03,2.18132
5.04,2.18076
5.05,2.1802
5.06,2.17964
5.07,2.17908
5.08,2.17852
5.09,2.17796
5.1,2.1774
5.11,2.17684
5.12,2.17628
5.13,2.17572
5.14,2.17516
5.15,2.1746
5.16,2.17404
5.17,2.17348
5.18,2.17292
5.19,2.17236
5.2,2.1718
5.21,2.17124
5.22,2.17068
5.23,2.17012
5.24,2.16956
5.25,2.169
5.26,2.16844
5.27,2.16788
5.28,2.16732
5.29,2.16676
5.3,2.1662
5.31,2.16564
5.32,2.16508
5.33,2.16452
5.34,2.16396
5.35,2.1634
5.36,2.16284
5.37,2.16228
5.38,2.16172
5.39,2.16116
5.4,2.1606
5.41,2.16004
5.42,2.15948
5.43,2.15892
5.44,2.15836
5.45,2.1578
5.46,2.15724
5.47,2.15668
5.48,2.15612
5.49,2.15556
5.5,2.155
5.51,2.15446
5.52,2.15392
5.53,2.15338
5.54,2.15284
5.55,2.1523
5.56,2.15176
5.57,2.15122
5.58,2.15068
5.59,2.15014
5.6,2.1496
5.61,2.14906
5.62,2.14852
5.63,2.14798
5.64,2.14744
5.65,2.1469
5.66,2.14636
5.67,2.14582
5.68,2.14528
5.69,2.14474
5.7,2.1442
5.71,2.14366
5.72,2.14312
5.73,2.14258
5.74,2.14204
5.75,2.1415
5.76,2.14096
5.77,2.14042
5.78,2.13988
5.79,2.13934
5.8,2.1388
5.81,2.13826
5.82,2.13772
5.83,2.13718
5.84,2.13664
5.85,2.1361
5.86,2.13556
5.87,2.13502
5.88,2.13448
5.89,2.13394
5.9,2.1334
5.91,2.13286
5.92,2.13232
5.93,2.13178
5.94,2.13124
5.95,2.1307
5.96,2.13016
5.97,2.12962
5.98,2.12908
5.99,2.12854
6.0,2.128
6.01,2.12749
6.02,2.12698
6.03,2.12647
6.04,2.12596
6.05,2.12545
6.06,2.12494
6.07,2.12443
6.08,2.12392
6.09,2.12341
6.1,2.1229
6.11,2.12239
6.12,2.12188
6.13,2.12137
6.14,2.12086
6.15,2.12035
6.16,2.11984
6.17,2.11933
6.18,2.11882
6.19,2.11831
6.2,2.1178
6.21,2.11729
6.22,2.11678
6.23,2.11627
6.24,2.11576
6.25,2.11525
6.26,2.11474
6.27,2.11423
6.28,2.11372
6.29,2.11321
6.3,2.1127
6.31,2.11219
6.32,2.11168
6.33,2.11117
6.34,2.11066
6.35,2.11015
6.36,2.10964
6.37,2.10913
6.38,2.10862
6.39,2.10811
6.4,2.1076
6.41,2.10709
6.42,2.10658
6.43,2.10607
6.44,2.10556
6.45,2.10505
6.46,2.10454
6.47,2.10403
6.48,2.10352
6.49,2.10301
6.5,2.1025
6.51,2.10199
6.52,2.10148
6.53,2.10097
6.54,2.10046
6.55,2.09995
6.56,2.09944
6.57,2.09893
6.58,2.09842
6.59,2.09791
6.6,2.0974
6.61,2.09689
6.62,2.09638
6.63,2.09587
6.64,2.09536
6.65,2.09485
6.66,2.09434
6.67,2.09383
6.68,2.09332
6.69,2.09281
6.7,2.0923
6.71,2.09179
6.72,2.09128
6.73,2.09077
6.74,2.09026
6.75,2.08975
6.76,2.08924
6.77,2.08873
6.78,2.08822
6.79,2.08771
6.8,2.0872
6.81,2.08669
6.82,2.08618
6.83,2.08567
6.84,2.08516
6.85,2.08465
6.86,2.08414
6.87,2.08363
6.88,2.08312
6.89,2.08261
6.9,2.0821
6.91,2.08159
6.92,2.08108
6.93,2.08057
6.94,2.08006
6.95,2.07955
6.96,2.07904
6.97,2.07853
6.98,2.07802
6.99,2.07751
7.0,2.077
7.01,2.07656
7.02,2.07612
7.03,2.07568
7.04,2.07524
7.05,2.0748
7.06,2.07436
7.07,2.07392
7.08,2.07348
7.09,2.07304
7.1,2.0726
7.11,2.07216
7.12,2.07172
7.13,2.07128
7.14,2.07084
7.15,2.0704
7.16,2.06996
7.17,2.06952
7.18,2.06908
7.19,2.06864
7.2,2.0682
7.21,2.06776
7.22,2.06732
7.23,2.06688
7.24,2.06644
7.25,2.066
7.26,2.06556
7.27,2.06512
7.28,2.06468
7.29,2.06424
7.3,2.0638
7.31,2.06336
7.32,2.06292
7.33,2.06248
7.34,2.06204
7.35,2.0616
7.36,2.06116
7.37,2.06072
7.38,2.06028
7.39,2.05984
7.4,2.0594
7.41,2.05896
7.42,2.05852
7.43,2.05808
7.44,2.05764
7.45,2.0572
7.46,2.05676
7.47,2.05632
7.48,2.05588
7.49,2.05544
7.5,2.055
7.51,2.05456
7.52,2.05412
7.53,2.05368
7.54,2.05324
7.55,2.0528
7.56,2.05236
7.57,2.05192
7.58,2.05148
7.59,2.05104
7.6,2.0506
7.61,2.05016
7.62,2.04972
7.63,2.04928
7.64,2.04884
7.65,2.0484
7.66,2.04796
7.67,2.04752
7.68,2.04708
7.69,2.04664
7.7,2.0462
7.71,2.04576
7.72,2.04532
7.73,2.04488
7.74,2.04444
7.75,2.044
7.76,2.04356
7.77,2.04312
7.78,2.04268
7.79,2.04224
7.8,2.0418
7.81,2.04136
7.82,2.04092
7.83,2.04048
7.84,2.04004
7.85,2.0396
7.86,2.03916
7.87,2.03872
7.88,2.03828
7.89,2.03784
7.9,2.0374
7.91,2.03696
7.92,2.03652
7.93,2.03608
7.94,2.03564
7.95,2.0352
7.96,2.03476
7.97,2.03432
7.98,2.03388
7.99,2.03344
8.0,2.033
8.01,2.03259
8.02,2.03218
8.03,2.03177
8.04,2.03136
8.05,2.03095
8.06,2.03054
8.07,2.03013
8.08,2.02972
8.09,2.02931
8.1,2.0289
8.11,2.02849
8.12,2.02808
8.13,2.02767
8.14,2.02726
8.15,2.02685
8.16,2.02644
8.17,2.02603
8.18,2.02562
8.19,2.02521
8.2,2.0248
8.21,2.02439
8.22,2.02398
8.23,2.02357
8.24,2.02316
8.25,2.02275
8.26,2.02234
8.27,2.02193
8.28,2.02152
8.29,2.02111
8.3,2.0207
8.31,2.02029
8.32,2.01988
8.33,2.01947
8.34,2.01906
8.35,2.01865
8.36,2.01824
8.37,2.01783
8.38,2.01742
8.39,2.01701
8.4,2.0166
8.41,2.01619
8.42,2.01578
8.43,2.01537
8.44,2.01496
8.45,2.01455
8.46,2.01414
8.47,2.01373
8.48,2.01332
8.49,2.01291
8.5,2.0125
8.51,2.01209
8.52,2.01168
8.53,2.01127
8.54,2.01086
8.55,2.01045
8.56,2.01004
8.57,2.00963
8.58,2.00922
8.59,2.00881
8.6,2.0084
8.61,2.00799
8.62,2.00758
8.63,2.00717
8.64,2.00676
8.65,2.00635
8.66,2.00594
8.67,2.00553
8.68,2.00512
8.69,2.00471
8.7,2.0043
8.71,2.00389
8.72,2.00348
8.73,2.00307
8.74,2.00266
8.75,2.00225
8.76,2.00184
8.77,2.00143
8.78,2.00102
8.79,2.00061
8.8,2.0002
8.81,1.99979
8.82,1.99938
8.83,1.99897
8.84,1.99856
8.85,1.99815
8.86,1.99774
8.87,1.99733
8.88,1.99692
8.89,1.99651
8.9,1.9961
8.91,1.99569
8.92,1.99528
8.93,1.99487
8.94,1.99446
8.95,1.99405
8.96,1.99364
8.97,1.99323
8.98,1.99282
8.99,1.99241
9.0,1.992
9.01,1.9916
9.02,1.9912
9.03,1.9908
9.04,1.9904
9.05,1.99
